PLACE_NAME,FEATURE,LONGITUDE,LATITUDE,geometry,suburb,postcode
TRARALGON HEIGHTS SECONDARY COLLEGE,SECONDARY SCHOOL,146.5312,-38.19,POINT (2634147.6048881304 2366748.4247748507),TRARALGON,3844.0
TRARALGON SECONDARY COLLEGE EAST CAMPUS,SECONDARY SCHOOL,146.5509,-38.203,POINT (2635852.4367999514 2365333.0480426466),TRARALGON,3844.0
TRARALGON SECONDARY COLLEGE WEST CAMPUS,SECONDARY SCHOOL,146.5204,-38.19,POINT (2633198.035959617 2366763.6453734497),TRARALGON,3844.0
DEER PARK SECONDARY COLLEGE,SECONDARY SCHOOL,144.7665,-37.759,POINT (2479426.426686263 2415742.115716759),DEER PARK,3023.0
DOOKIE AGRICULTURAL COLLEGE,SECONDARY SCHOOL,145.7023,-36.384,POINT (2563013.3343813363 2568116.0741332117),DOOKIE COLLEGE,
DOOKIE AGRICULTURE COLLEGE HALL,SECONDARY SCHOOL,145.7054,-36.382,POINT (2563287.8737176233 2568237.2083870303),DOOKIE COLLEGE,
DOVETON TECHNICAL SCHOOL,SECONDARY SCHOOL,145.229,-37.995,POINT (2520117.4016184597 2389479.5013084784),DOVETON,3177.0
BOX FOREST SECONDARY COLLEGE HADFIELD CAMPUS,SECONDARY SCHOOL,144.9468,-37.716,POINT (2495310.6125271604 2420487.287556948),PASCOE VALE,3044.0
DONCASTER HIGH SCHOOL,SECONDARY SCHOOL,145.138,-37.784,POINT (2512159.9374334486 2412925.0738974204),DONCASTER,3108.0
MERRILANDS SECONDARY COLLEGE,SECONDARY SCHOOL,145.0043,-37.697,POINT (2500380.0770952357 2422583.938429773),RESERVOIR,3074.0
MITCHAM HIGH SCHOOL,SECONDARY SCHOOL,145.1915,-37.807,POINT (2516865.4950418915 2410358.6877989294),MITCHAM,3132.0
MITCHAM TECHNICAL SCHOOL,SECONDARY SCHOOL,145.1823,-37.814,POINT (2516057.4223621674 2409590.02270646),NUNAWADING,3132.0
MONTEREY HIGH SCHOOL,SECONDARY SCHOOL,145.1484,-38.127,POINT (2513019.215013864 2374817.1505480185),FRANKSTON NORTH,3198.0
MONTEREY TECHNICAL SCHOOL,SECONDARY SCHOOL,145.1473,-38.125,POINT (2512922.3623028253 2375124.7809089534),FRANKSTON NORTH,3198.0
MONTMORENCY HIGH SCHOOL,SECONDARY SCHOOL,145.1134,-37.713,POINT (2510005.1335158357 2420821.1320418827),MONTMORENCY,3088.0
MOOROOLBARK HEIGHTS SECONDARY COLLEGE,SECONDARY SCHOOL,145.3142,-37.775,POINT (2527681.9419129095 2413942.5689512547),MOOROOLBARK,3138.0
MOOROOLBARK TECHNICAL SCHOOL,SECONDARY SCHOOL,145.3177,-37.781,POINT (2527992.342245153 2413242.325305647),MOOROOLBARK,3138.0
NORTHLAND SECONDARY COLLEGE,SECONDARY SCHOOL,145.0253,-37.74,POINT (2502235.9956522724 2417873.5304135475),PRESTON,3072.0
PRESTON GIRLS SECONDARY COLLEGE,SECONDARY SCHOOL,145.0068,-37.741,POINT (2500600.187790389 2417682.914386237),PRESTON,3072.0
PRESTON INSTITUTE OF TECHNOLOGY,SECONDARY SCHOOL,145.0687,-37.679,POINT (2506065.045511884 2424586.0862349533),BUNDOORA,3082.0
PRESTON SECONDARY COLLEGE,SECONDARY SCHOOL,144.9973,-37.741,POINT (2499768.2095640805 2417682.932501072),PRESTON,3072.0
MOORLEIGH SECONDARY COLLEGE,SECONDARY SCHOOL,145.0679,-37.936,POINT (2505970.584798825 2396038.0505856983),BENTLEIGH EAST,3165.0
PRINCES HILL HIGH SCHOOL,SECONDARY SCHOOL,144.9651,-37.783,POINT (2496929.3481201944 2413088.708281898),PRINCES HILL,3054.0
PRINCESS HILL HIGH SCHOOL,SECONDARY SCHOOL,144.9643,-37.783,POINT (2496856.2605032213 2413026.5292318994),PRINCES HILL,3052.0
BOX FOREST SECONDARY COLLEGE GLENROY CAMPUS,SECONDARY SCHOOL,144.925,-37.704,POINT (2493386.7446963564 2421796.6975929067),GLENROY,3046.0
MORWELL TECHNICAL SCHOOL,SECONDARY SCHOOL,146.4184,-38.223,POINT (2624213.9383166404 2363263.049654183),MORWELL,3840.0
ESSENDON TECHNICAL SCHOOL,SECONDARY SCHOOL,144.924,-37.756,POINT (2493305.7769368486 2416076.5415060837),ESSENDON,3040.0
CANTERBURY GIRLS SECONDARY COLLEGE,SECONDARY SCHOOL,145.0691,-37.82,POINT (2506083.699907577 2408968.34718138),CANTERBURY,3126.0
EAGLEHAWK TECHNICAL SCHOOL,SECONDARY SCHOOL,144.2616,-36.72,POINT (2434046.168309591 2530805.991933046),EAGLEHAWK,3550.0
EAST DONCASTER SECONDARY COLLEGE,SECONDARY SCHOOL,145.1585,-37.782,POINT (2513966.983006904 2413194.175238626),DONCASTER EAST,3109.0
EMILY MCPHERSON COLLEGE,SECONDARY SCHOOL,144.9657,-37.806,POINT (2496979.6073034583 2410499.414146593),CARLTON,3010.0
ENDEAVOUR HILLS SECONDARY COLLEGE,SECONDARY SCHOOL,145.2423,-37.979,POINT (2521293.859389235 2391326.8943485506),ENDEAVOUR HILLS,3802.0
EPPING HIGH SCHOOL,SECONDARY SCHOOL,145.0334,-37.644,POINT (2502950.113303388 2428535.338651901),EPPING,3076.0
ERINBANK HIGH SCHOOL,SECONDARY SCHOOL,144.9065,-37.671,POINT (2491754.5046141124 2425478.737259319),WESTMEADOWS,3047.0
HOPPERS CROSSING SECONDARY COLLEGE,SECONDARY SCHOOL,144.6953,-37.871,POINT (2473197.0233242027 2403275.012805354),HOPPERS CROSSING,3029.0
EXHIBITION HIGH SCHOOL,SECONDARY SCHOOL,144.9748,-37.799,POINT (2497786.8966833064 2411269.9144992074),FITZROY,3065.0
FAIRHILLS HIGH SCHOOL,SECONDARY SCHOOL,145.259,-37.873,POINT (2522790.3829856524 2403066.0208648387),FERNTREE GULLY,3155.0
DEBNEY PARK SECONDARY COLLEGE,SECONDARY SCHOOL,144.9332,-37.782,POINT (2494119.34548882 2413201.524075399),FLEMINGTON,3031.0
GROVEDALE TECHNICAL SCHOOL,SECONDARY SCHOOL,144.2601,-38.206,POINT (2435195.3185677994 2365818.2338130213),WAURN PONDS,3216.0
HAMPTON PARK SECONDARY COLLEGE,SECONDARY SCHOOL,145.2598,-38.034,POINT (2522815.306251708 2385123.6857503196),HAMPTON PARK,3976.0
AUSTRALIAN COUNTER DISASTER COLLEGE,SECONDARY SCHOOL,144.5901,-37.409,POINT (2463718.8497455963 2454504.7992471363),MOUNT MACEDON,3440.0
AVONDALE SECONDARY COLLEGE,SECONDARY SCHOOL,144.8612,-37.765,POINT (2487776.1353965276 2415083.6503293645),AVONDALE HEIGHTS,3034.0
HALLAM HIGH SCHOOL,SECONDARY SCHOOL,145.2609,-38.0,POINT (2522922.2777090836 2388917.298956801),HALLAM,3803.0
PETER LALOR SECONDARY COLLEGE,SECONDARY SCHOOL,145.0131,-37.666,POINT (2501160.9844625145 2425993.2170821074),LALOR,3075.0
POINT GELLIBRAND GIRLS HIGH SCHOOL,SECONDARY SCHOOL,144.8844,-37.864,POINT (2489832.696894416 2404065.3472760934),WILLIAMSTOWN,3016.0
PRAHRAN SECONDARY COLLEGE,SECONDARY SCHOOL,144.9911,-37.851,POINT (2499222.0307942936 2405478.826705861),PRAHRAN,3181.0
PYRAMID HILL COLLEGE,SECONDARY SCHOOL,144.1145,-36.05,POINT (2420221.6118753725 2604962.732700566),PYRAMID HILL,3575.0
HASTINGS SECONDARY COLLEGE,SECONDARY SCHOOL,145.174,-38.309,POINT (2515222.7718459973 2354708.5736283567),HASTINGS,3915.0
HEATHERHILL SECONDARY COLLEGE,SECONDARY SCHOOL,145.1504,-37.97,POINT (2513216.8927204073 2392268.1487405393),SPRINGVALE SOUTH,3172.0
HEATHMONT SECONDARY COLLEGE,SECONDARY SCHOOL,145.2321,-37.838,POINT (2520429.613051339 2406932.328866288),HEATHMONT,3135.0
EASTERN SECONDARY COLLEGE,SECONDARY SCHOOL,145.2384,-37.824,POINT (2520995.1941802544 2408531.3833959587),HEATHMONT,3135.0
HEIDELBERG HIGH SCHOOL,SECONDARY SCHOOL,145.0395,-37.755,POINT (2503488.5597528885 2416140.6386492364),BELLFIELD,3081.0
HEIDELBERG TECHNICAL SCHOOL,SECONDARY SCHOOL,145.0443,-37.75,POINT (2503904.7473521163 2416726.4535309672),HEIDELBERG WEST,3081.0
HILLCREST SECONDARY COLLEGE,SECONDARY SCHOOL,144.9123,-37.681,POINT (2492270.6744343736 2424399.3804744706),BROADMEADOWS,3047.0
ALBERT PARK HIGH SCHOOL,SECONDARY SCHOOL,144.9473,-37.844,POINT (2495367.8206250034 2406305.559282435),ALBERT PARK,3206.0
BEECHWORTH SECONDARY COLLEGE,SECONDARY SCHOOL,146.6907,-36.347,POINT (2651752.9435392255 2571082.9829194676),BEECHWORTH,3747.0
BENDIGO INSTITUTE OF TECHNOLOGY,SECONDARY SCHOOL,144.2882,-36.754,POINT (2436448.3107873295 2526963.9793537688),BENDIGO,3550.0
BENDIGO SENIOR SECONDARY COLLEGE,SECONDARY SCHOOL,144.2792,-36.755,POINT (2435652.299309156 2526908.0582586825),BENDIGO,3550.0
BERWICK SECONDARY COLLEGE,SECONDARY SCHOOL,145.3654,-38.031,POINT (2532084.03567244 2385477.3007874116),BERWICK,3807.0
KINGS PARK SECONDARY COLLEGE DELAHEY SENIOR CAMPUS,SECONDARY SCHOOL,144.7726,-37.718,POINT (2479955.8756585596 2420217.170317212),DELAHEY,3037.0
JAMES HARRISON SECONDARY COLLEGE,SECONDARY SCHOOL,144.3823,-38.173,POINT (2445877.3293082733 2369594.357287229),THOMSON,3219.0
BORONIA PRIMARY SCHOOL,SECONDARY SCHOOL,145.2916,-37.858,POINT (2525666.040144913 2404648.19251475),BORONIA,3154.0
GISBORNE SECONDARY COLLEGE,SECONDARY SCHOOL,144.5847,-37.498,POINT (2463286.4917061166 2444646.230381759),GISBORNE,3437.0
GLADSTONE PARK HIGH SCHOOL,SECONDARY SCHOOL,144.89,-37.689,POINT (2490298.643842921 2423450.6603127904),GLADSTONE PARK,3043.0
KOO-WEE-RUP HIGH SCHOOL,SECONDARY SCHOOL,145.4968,-38.195,POINT (2543522.331127095 2367158.707799945),KOO WEE RUP,3981.0
BOX HILL SENIOR SECONDARY COLLEGE,SECONDARY SCHOOL,145.1119,-37.809,POINT (2509854.216967989 2410191.172983614),MONT ALBERT NORTH,3129.0
DANDENONG HIGH SCHOOL,SECONDARY SCHOOL,145.2091,-37.978,POINT (2518377.2543068985 2391441.4771219296),DANDENONG,3174.0
KANIVA CONSOLIDATED SCHOOL,SECONDARY SCHOOL,141.2443,-36.38,POINT (2163126.893163723 2562072.2418769486),KANIVA,3419.0
SALE COLLEGE - GUTHRIDGE CAMPUS,SECONDARY SCHOOL,147.0836,-38.098,POINT (2682756.217277903 2376119.593622908),SALE,3850.0
GREYTHORN HIGH SCHOOL,SECONDARY SCHOOL,145.0962,-37.801,POINT (2508477.0237077414 2411050.607555178),BALWYN NORTH,3103.0
DONVALE HIGH SCHOOL,SECONDARY SCHOOL,145.177,-37.8,POINT (2515595.507506803 2411193.549478936),DONVALE,3111.0
MOUNT SCOPUS MEMORIAL COLLEGE - FINK KARP IVANY CAMPUS,SECONDARY SCHOOL,145.0336,-37.899,POINT (2502963.019222804 2400170.788231979),CAULFIELD SOUTH,3204.0
PRAHRAN HIGH SCHOOL,SECONDARY SCHOOL,144.9916,-37.851,POINT (2499268.6735971575 2405478.830903126),PRAHRAN,3181.0
BROOKSIDE P-9 COLLEGE,SECONDARY SCHOOL,144.7382,-37.745,POINT (2476927.779588269 2417250.559044279),CAROLINE SPRINGS,3023.0
HAMPTON HIGH SCHOOL,SECONDARY SCHOOL,145.0065,-37.932,POINT (2500574.058282785 2396501.89164327),HAMPTON,3187.0
FOSTER HIGH SCHOOL,SECONDARY SCHOOL,146.2012,-38.651,POINT (2604594.1901169172 2316036.193592231),FOSTER,
CRANBOURNE SECONDARY COLLEGE,SECONDARY SCHOOL,145.2861,-38.107,POINT (2525096.4448128734 2377044.0570934666),CRANBOURNE,3977.0
WYNDHAM CENTRAL SECONDARY COLLEGE,SECONDARY SCHOOL,144.6538,-37.888,POINT (2469552.032663453 2401296.902484256),WERRIBEE,3030.0
GEELONG HIGH SCHOOL,SECONDARY SCHOOL,144.3737,-38.153,POINT (2445105.302743413 2371857.205266622),EAST GEELONG,3219.0
KEILOR DOWNS SECONDARY COLLEGE,SECONDARY SCHOOL,144.8111,-37.715,POINT (2483353.7416798086 2420581.9629666004),KEILOR DOWNS,3038.0
LAKE BOLAC COLLEGE,SECONDARY SCHOOL,142.8359,-37.72,POINT (2309240.5211003725 2417857.6016944963),LAKE BOLAC,3351.0
MERBEIN HIGH SCHOOL,SECONDARY SCHOOL,142.0709,-34.169,POINT (2229700.7272107988 2809960.4018922914),MERBEIN,3505.0
COBURG HIGH SCHOOL,SECONDARY SCHOOL,144.9728,-37.74,POINT (2497602.7336965646 2417803.5658466723),COBURG,3058.0
HAZEL GLEN COLLEGE,SECONDARY SCHOOL,145.1229,-37.598,POINT (2510852.9597512265 2433537.331566442),DOREEN,3754.0
KEW HIGH SCHOOL,SECONDARY SCHOOL,145.0633,-37.795,POINT (2505580.167025336 2411714.515843006),BALWYN NORTH,3102.0
MACLEOD HIGH SCHOOL,SECONDARY SCHOOL,145.0709,-37.724,POINT (2506257.138946932 2419591.7411987577),MACLEOD,3087.0
NORLANE HIGH SCHOOL,SECONDARY SCHOOL,144.3413,-38.082,POINT (2442216.6752446634 2379638.0655936347),CORIO,3214.0
YARRA HILLS SECONDARY COLLEGE - SENIOR CAMPUS,SECONDARY SCHOOL,145.3157,-37.788,POINT (2527811.7121314923 2412430.504838938),MOOROOLBARK,3138.0
HIGHVIEW CHRISTIAN COMMUNITY COLLEGE,SECONDARY SCHOOL,143.7364,-37.053,POINT (2387625.8244874515 2493314.4641349055),MARYBOROUGH,3465.0
XAVIER COLLEGE,SECONDARY SCHOOL,145.0311,-37.813,POINT (2502739.2214920227 2409684.866558864),KEW,3122.0
ST COLUMBAS COLLEGE,SECONDARY SCHOOL,144.9142,-37.757,POINT (2492447.6175582507 2415969.267553633),ESSENDON,3040.0
VICTORIA UNIVERSITY SECONDARY COLLEGE - DEER PARK CAMPUS,SECONDARY SCHOOL,144.767,-37.758,POINT (2479476.607706613 2415759.9962526094),DEER PARK,3023.0
PAYIKA COLLEGE A KOORIE PATHWAYS SCHOOL (INTERIM NAME),SECONDARY SCHOOL,143.5627,-35.355,POINT (2369336.378757752 2681441.813763479),SWAN HILL,3585.0
DIMBOOLA MEMORIAL HIGH SCHOOL,SECONDARY SCHOOL,142.0344,-36.449,POINT (2234209.30205888 2556904.1396663785),DIMBOOLA,3414.0
BALLARAT CLARENDON COLLEGE - SECOND CAMPUS,SECONDARY SCHOOL,143.8511,-37.558,POINT (2398507.4927878743 2437409.8874374833),BALLARAT CENTRAL,3350.0
KEON PARK TECHNICAL SCHOOL,SECONDARY SCHOOL,145.0101,-37.699,POINT (2500894.1716888594 2422368.5939127225),RESERVOIR,3073.0
BORONIA K-12 COLLEGE - MOUNT VIEW CAMPUS,SECONDARY SCHOOL,145.3009,-37.859,POINT (2526484.947644414 2404537.983330271),BORONIA,3154.0
ROCHESTER HIGH SCHOOL,SECONDARY SCHOOL,144.6987,-36.352,POINT (2472957.610490286 2571770.882355865),ROCHESTER,3561.0
SYNDAL HIGH SCHOOL,SECONDARY SCHOOL,145.1395,-37.876,POINT (2512280.580684728 2402690.679949248),MOUNT WAVERLEY,3149.0
KERANG TECHNICAL HIGH SCHOOL,SECONDARY SCHOOL,143.9138,-35.725,POINT (2401718.9995868746 2640838.701390868),KERANG,3579.0
YESODEI HATORAH COLLEGE,SECONDARY SCHOOL,144.9836,-37.872,POINT (2498557.9939882373 2403133.530087471),ST KILDA,3182.0
Edenbrook Secondary School,SECONDARY SCHOOL,145.4465,-38.079,POINT (2539176.3337614844 2380064.643033093),PAKENHAM,3810.0
Footscray High School - Pilgrim Campus,SECONDARY SCHOOL,144.8975,-37.805,POINT (2490976.6319233933 2410552.815192555),FOOTSCRAY,3011.0
NUMURKAH SECONDARY COLLEGE,SECONDARY SCHOOL,145.4462,-36.079,POINT (2540195.615770682 2601991.7596276607),NUMURKAH,3636.0
EDGARS CREEK SECONDARY COLLEGE,SECONDARY SCHOOL,145.005,-37.609,POINT (2500447.617599287 2432365.7363658417),WOLLERT,3750.0
THOMASTOWN HIGH SCHOOL,SECONDARY SCHOOL,145.0019,-37.678,POINT (2500171.117797332 2424682.6093051955),THOMASTOWN,3074.0
NORTH SHEPPARTON SECONDARY COLLEGE,SECONDARY SCHOOL,145.414,-36.366,POINT (2537153.621022618 2570239.4183264896),SHEPPARTON,3630.0
NORTHCOTE HIGH SCHOOL,SECONDARY SCHOOL,144.9897,-37.774,POINT (2499093.492185252 2414090.311693984),NORTHCOTE,3068.0
TYRRELL COLLEGE,SECONDARY SCHOOL,142.8532,-35.509,POINT (2305224.508993114 2663243.1050929334),SEA LAKE,3533.0
Sunshine College - Ardeer Campus,SECONDARY SCHOOL,144.7952,-37.787,POINT (2481968.231812957 2412590.4229896283),SUNSHINE WEST,3020.0
ARDOCH HIGH SCHOOL,SECONDARY SCHOOL,144.9982,-37.859,POINT (2499841.6072659167 2404610.9255632963),ST KILDA EAST,3181.0
ASHWOOD SECONDARY COLLEGE,SECONDARY SCHOOL,145.1033,-37.864,POINT (2509092.0463369307 2404055.486063891),ASHWOOD,3125.0
Mooroopna Secondary College,SECONDARY SCHOOL,145.3518,-36.381,POINT (2531563.87186879 2568538.743515456),MOOROOPNA,3629.0
YARRAWONGA HIGH SCHOOL,SECONDARY SCHOOL,146.0068,-36.021,POINT (2590750.4393499275 2608059.429372592),YARRAWONGA,3730.0
SEYMOUR COLLEGE - DELATITE ROAD CAMPUS,SECONDARY SCHOOL,145.1547,-37.029,POINT (2513763.615235241 2496737.655774886),SEYMOUR,3660.0
ST KEVINS COLLEGE - GLENDALOUGH CAMPUS,SECONDARY SCHOOL,145.0207,-37.833,POINT (2501825.6747450577 2407521.9641541364),TOORAK,3142.0
NHILL COLLEGE,SECONDARY SCHOOL,141.6588,-36.332,POINT (2200108.123462595 2568790.848722527),NHILL,3418.0
ALPHINGTON GRAMMAR SCHOOL,SECONDARY SCHOOL,145.0361,-37.78,POINT (2503187.0379237244 2413394.9855477503),ALPHINGTON,3078.0
KOONUNG SECONDARY COLLEGE,SECONDARY SCHOOL,145.1175,-37.802,POINT (2510352.6926286244 2410973.0298953904),MONT ALBERT NORTH,3129.0
BRAEMAR COLLEGE,SECONDARY SCHOOL,144.5757,-37.363,POINT (2462417.811498026 2459616.000431167),MOUNT MACEDON,3442.0
BRANDON PARK TECHNICAL SCHOOL,SECONDARY SCHOOL,145.1654,-37.905,POINT (2514547.4250181485 2399480.51536581),WHEELERS HILL,3150.0
BRAYBROOK COLLEGE,SECONDARY SCHOOL,144.8475,-37.778,POINT (2486569.6527837887 2413624.5658185724),BRAYBROOK,3019.0
BRENTWOOD SECONDARY COLLEGE,SECONDARY SCHOOL,145.1663,-37.899,POINT (2514629.5299417903 2400165.1909058187),GLEN WAVERLEY,3150.0
BRIGHTON BAY SECONDARY COLLEGE,SECONDARY SCHOOL,144.9965,-37.902,POINT (2499694.8286250886 2399801.705759527),BRIGHTON,3186.0
BROADMEADOWS HIGH SCHOOL,SECONDARY SCHOOL,144.9301,-37.68,POINT (2493837.9937765454 2424493.9012616407),BROADMEADOWS,3047.0
GLENORMISTON AGRICULTURAL COLLEGE,SECONDARY SCHOOL,142.9532,-38.162,POINT (2320625.7908838745 2369074.853012343),GLENORMISTON SOUTH,3265.0
ALEXANDRA LADIES COLLEGE,SECONDARY SCHOOL,142.0351,-37.727,POINT (2238691.639509067 2415155.158349799),HAMILTON,3300.0
CARRUM DOWNS SECONDARY COLLEGE,SECONDARY SCHOOL,145.1976,-38.095,POINT (2517338.9902739744 2378429.0972683067),CARRUM DOWNS,3201.0
Footscray High School Barkly Street Campus,SECONDARY SCHOOL,144.8948,-37.799,POINT (2490743.311445848 2411318.3697369993),FOOTSCRAY,3011.0
MATER CHRISTI COLLEGE,SECONDARY SCHOOL,145.3588,-37.91,POINT (2531559.5062222104 2398883.1474336125),BELGRAVE,3160.0
NUNAWADING CHRISTIAN COLLEGE-SECONDARY,SECONDARY SCHOOL,145.169,-37.822,POINT (2514880.401944657 2408706.5136234704),NUNAWADING,3131.0
TAYLORS SENIOR COLLEGE,SECONDARY SCHOOL,144.9606,-37.812,POINT (2496536.0892791334 2409784.4860244254),MELBOURNE,3000.0
MARIAN COLLEGE,SECONDARY SCHOOL,146.7253,-36.553,POINT (2654443.6390807955 2548160.8283998463),MYRTLEFORD,3737.0
DANDENONG HIGH SCHOOL - BURREMAH GRASSMERE ANNEXE,SECONDARY SCHOOL,145.2299,-37.994,POINT (2520197.7651402815 2389658.0119935777),DOVETON,3177.0
HUME CENTRAL SECONDARY COLLEGE - DIMBOOLA ROAD CAMPUS,SECONDARY SCHOOL,144.9135,-37.68,POINT (2492374.6824629214 2424479.3821930364),BROADMEADOWS,3047.0
MACLEOD TECHNICAL SCHOOL,SECONDARY SCHOOL,145.0584,-37.729,POINT (2505154.917341384 2419099.7247871086),MACLEOD,3086.0
WARRNAMBOOL SECONDARY COLLEGE,SECONDARY SCHOOL,142.4987,-38.377,POINT (2281434.82284675 2344295.295986647),WARRNAMBOOL,3280.0
WENDOUREE HIGH SCHOOL,SECONDARY SCHOOL,143.8334,-37.519,POINT (2396891.283849247 2441681.9846178666),WENDOUREE,3355.0
CAMBERWELL HIGH SCHOOL,SECONDARY SCHOOL,145.0728,-37.83,POINT (2506410.3790227235 2407873.7635928113),CAMBERWELL,3124.0
SOUTH MELBOURNE TECHNICAL SCHOOL,SECONDARY SCHOOL,144.9601,-37.842,POINT (2496491.6811753768 2406490.3463959917),MIDDLE PARK,3206.0
ST MARY MACKILLOP COLLEGE,SECONDARY SCHOOL,143.5567,-35.341,POINT (2368772.8426055973 2682988.2366278674),SWAN HILL,3585.0
MERCY REGIONAL COLLEGE - OKEEFFE CAMPUS,SECONDARY SCHOOL,142.9284,-38.19,POINT (2318529.154621044 2365879.5097662136),NOORAT,3265.0
SIENA COLLEGE LTD,SECONDARY SCHOOL,145.0825,-37.833,POINT (2507269.2185270027 2407483.494985858),CAMBERWELL,3124.0
ST JOSEPHS COLLEGE,SECONDARY SCHOOL,145.295,-37.89,POINT (2525956.1148331454 2401138.883847109),FERNTREE GULLY,3156.0
CATHOLIC COLLEGE SALE - SION CAMPUS,SECONDARY SCHOOL,147.0672,-38.098,POINT (2681323.254801166 2376110.868660696),SALE,3850.0
WHITEFRIARS COLLEGE INC,SECONDARY SCHOOL,145.1995,-37.791,POINT (2517574.5112944604 2412114.153174825),DONVALE,3111.0
YESODEI HATORAH COLLEGE - SENIOR CAMPUS,SECONDARY SCHOOL,144.9865,-37.871,POINT (2498813.110639992 2403327.8026165795),ELWOOD,3183.0
Footscray High School Kinnear Street Campus,SECONDARY SCHOOL,144.894,-37.791,POINT (2490665.700273754 2412209.5048357127),FOOTSCRAY,3011.0
LOWANNA COLLEGE,SECONDARY SCHOOL,146.2859,-38.176,POINT (2612682.444392178 2368651.40452944),NEWBOROUGH,3825.0
TWO RIVERS COLLEGE A KOORIE PATHWAYS SCHOOL,SECONDARY SCHOOL,142.1678,-34.204,POINT (2238752.0032801973 2806321.716715239),MILDURA,3502.0
CROYDON COMMUNITY SCHOOL - LEAPS AND BOUNDS CAMPUS,SECONDARY SCHOOL,145.2614,-37.837,POINT (2523008.965608991 2407053.2801235383),BAYSWATER,3153.0
LYNDALE SECONDARY COLLEGE - MONASH ADOLESCENT PSYCHIATRIC CENTRE,SECONDARY SCHOOL,145.1214,-37.92,POINT (2510676.699981302 2397805.9255454065),CLAYTON,3800.0
NEWCOMB SECONDARY COLLEGE - VICTORIAN SAILING WATER SAFETY SCHOOL,SECONDARY SCHOOL,144.3674,-38.145,POINT (2444546.871558573 2372658.3149860874),GEELONG,3220.0
PRINCES HILL SECONDARY COLLEGE,SECONDARY SCHOOL,144.965,-37.783,POINT (2496919.6709732707 2413055.4089752072),PRINCES HILL,3054.0
ST FRANCIS XAVIER COLLEGE,SECONDARY SCHOOL,145.3731,-38.052,POINT (2532747.5847475952 2383188.1363152387),BEACONSFIELD,3807.0
CATHOLIC REGIONAL COLLEGE,SECONDARY SCHOOL,144.7396,-37.728,POINT (2477047.0236879154 2419085.455028722),CAROLINE SPRINGS,3037.0
MACKILLOP CATHOLIC REGIONAL COLLEGE,SECONDARY SCHOOL,144.6651,-37.909,POINT (2470549.631404967 2399017.364380516),WERRIBEE,3030.0
KOLBE CATHOLIC COLLEGE,SECONDARY SCHOOL,144.9094,-37.615,POINT (2492007.92608597 2431714.9427198116),GREENVALE,3059.0
BURWOOD HEIGHTS HIGH SCHOOL,SECONDARY SCHOOL,145.162,-37.848,POINT (2514265.393363354 2405831.873096072),BURWOOD EAST,3151.0
BUNDOORA SECONDARY COLLEGE,SECONDARY SCHOOL,145.0619,-37.707,POINT (2505464.9898025966 2421486.77280532),BUNDOORA,3083.0
SWAN HILL TECHNICAL SCHOOL,SECONDARY SCHOOL,143.5626,-35.354,POINT (2369327.313690803 2681560.4343007207),SWAN HILL,3546.0
BILLANOOK COLLEGE,SECONDARY SCHOOL,145.3398,-37.787,POINT (2529935.814196027 2412573.022830921),MOOROOLBARK,3765.0
DONALD HIGH SCHOOL,SECONDARY SCHOOL,142.9739,-36.37,POINT (2318214.034417564 2567882.018349739),DONALD,3480.0
COHUNA SECONDARY COLLEGE,SECONDARY SCHOOL,144.2264,-35.813,POINT (2430084.6712245787 2631367.2846226264),COHUNA,3568.0
COOMOORA SECONDARY COLLEGE,SECONDARY SCHOOL,145.152,-37.981,POINT (2513361.7098994115 2391065.8389320383),SPRINGVALE SOUTH,3172.0
FRANKSTON TECHNICAL COLLEGE,SECONDARY SCHOOL,145.1273,-38.143,POINT (2511165.8700086153 2373061.53139677),FRANKSTON,3199.0
CRAIGIEBURN POST PRIMARY SCHOOL,SECONDARY SCHOOL,144.9359,-37.608,POINT (2494345.114576894 2432445.970152518),CRAIGIEBURN,3064.0
GLENFERN SECONDARY COLLEGE,SECONDARY SCHOOL,145.3026,-37.894,POINT (2526618.9676737343 2400746.112642916),UPPER FERNTREE GULLY,3785.0
GOLDEN SQUARE SECONDARY COLLEGE,SECONDARY SCHOOL,144.2584,-36.78,POINT (2433816.9495231397 2524108.849978531),GOLDEN SQUARE,3555.0
LAKESIDE SECONDARY COLLEGE,SECONDARY SCHOOL,144.9804,-37.71,POINT (2498273.641138038 2421104.3741257824),RESERVOIR,3060.0
GEELONG GRAMMAR SCHOOL,SECONDARY SCHOOL,144.3973,-38.07,POINT (2447119.3400800945 2381042.540017373),CORIO,3214.0
PORTLAND HIGH SCHOOL,SECONDARY SCHOOL,141.6009,-38.347,POINT (2202895.5205577547 2345161.6782591073),PORTLAND,3305.0
MILDURA TECHNICAL SCHOOL,SECONDARY SCHOOL,142.157,-34.197,POINT (2237736.0104912245 2807149.0324524064),MILDURA,3500.0
ALTONA NORTH TECHNICAL SCHOOL,SECONDARY SCHOOL,144.8454,-37.841,POINT (2486394.29934327 2406604.3414323684),ALTONA NORTH,3025.0
COLLINGWOOD SECONDARY COLLEGE,SECONDARY SCHOOL,144.9862,-37.799,POINT (2498789.973659809 2411239.043274289),COLLINGWOOD,3066.0
KANIVA SECONDARY COLLEGE,SECONDARY SCHOOL,141.2376,-36.385,POINT (2162550.5161340637 2561525.3521308284),KANIVA,3419.0
