ID,Cemetery Fileno,Cemetery Name,Cemetery Trust,Address,Suburb,Postcode,Phone,Email,Fax,LGA,Region,Latitude,Longitude,Comments
143,CEM0157,DERGHOLM,Dergholm Cemetery Trust,Chetwynd Road,DERGHOLM,3312,5583 3242,,,SHIRE OF WEST WIMMERA,Grampians,-37.371831,141.225392,
144,CEM0158,DERRINALLUM,Derrinallum Cemetery Trust,Leemons Road,DERRINALLUM,3325,0401 145 500,,,SHIRE OF CORANGAMITE,Barwon-South Western,-37.941592,143.235057,address
145,CEM0159,DEVENISH,Devenish Cemetery Trust,Tocumwal Road,DEVENISH,3726,0417 571 634,,,BENALLA RURAL CITY,Hume,-36.386749,145.885506,
146,CEM0160,DIGBY,Digby Cemetery Trust,Digby Dartmoor Road,DIGBY,3309,5579 3204,,,SHIRE OF GLENELG,Barwon-South Western,-37.819617,141.503778,address
147,CEM0162,DIMBOOLA,Dimboola Cemetery Trust,Cemetery Road,DIMBOOLA,3414,,dimcemetery.bcollins@gmail.com,,SHIRE OF HINDMARSH,Grampians,-36.439836,142.024174,
148,CEM0163,DONALD,Donald Cemetery Trust,Morgans Road,DONALD,3480,5497 1555,,,SHIRE OF BULOKE,Loddon Mallee,-36.388978,143.002034,
149,CEM0164,DONNYBROOK (also Kalkallo),Donnybrook Cemetery Trust,Malcolm Street,KALKALLO,3064,0427 882 744,,,CITY OF HUME,North and West Metropolitan,-37.530983,144.954417,
150,CEM0165,DOOKIE,Dookie Cemetery Trust,Dookie-Gowangardie Road,DOOKIE,3646,0408 038 689,,,CITY OF GREATER SHEPPARTON,Hume,-36.356871,145.67489,
151,CEM0166,DOOKIE EAST (CASHEL),Dookie East Cemetery Trust,Dookie-Devenish Roads,DOOKIE,3646,0418 560 884,,,CITY OF GREATER SHEPPARTON,Hume,-36.332625,145.725686,
152,CEM0167,DOWLING FOREST,Dowling Forest Cemetery Trust,Sunraysia-Dowling Road,MINERS REST,3352,,dowlingforestcemetery@outlook.com,,CITY OF BALLARAT,Grampians,-37.470556,143.766602,
153,CEM0168,DRIK DRIK,Drik Drik Cemetery Trust,Drik Drik-Nelson Road,DRIK DRIK,3304,5528 1285,,,SHIRE OF GLENELG,Barwon-South Western,-37.985563,141.295642,
154,CEM0169,DROMANA,Mornington Peninsula Cemetery Trust,Arthurs Seat Road,DROMANA,3936,,jenny.brown@mornpen.vic.gov.au,,SHIRE OF MORNINGTON PENINSULA,Southern Metropolitan,-38.346208,144.94972,
155,CEM0170,DROUIN,Drouin Cemetery Trust,Longwarry Drouin Road,DROUIN,3818,0492 893 090,,,SHIRE OF BAW BAW,Gippsland,-38.122421,145.831167,
156,CEM0171,DROUIN WEST,Drouin West Cemetery Trust,Old Sale Road,DROUIN WEST,3818,,dwct3818@outlook.com,,SHIRE OF BAW BAW,Gippsland,-38.091715,145.845154,
157,CEM0172,DRYSDALE,Geelong Cemeteries Trust,Oakden Road,DRYSDALE,3222,5249 3939,,,CITY OF GREATER GEELONG,Barwon-South Western,-38.164517,144.575215,
158,CEM0173,DUNKELD,Dunkeld Cemetery Trust,Racecourse Road,DUNKELD,3294,0400 952 716,,,SHIRE OF SOUTHERN GRAMPIANS,Barwon-South Western,-37.633548,142.34548,
159,CEM0175,"DUNOLLY (BURNT CREEK, BROMLEY)",Dunolly (Old) Cemetery Trust,Betley Road,DUNOLLY,3472,,mail@cgoldshire.vic.gov.au,,SHIRE OF CENTRAL GOLDFIELDS,Loddon Mallee,,,Gazette dated 15 November 1972 reserved 'Dunolly' for cemetery purposes. Gazette dated 17 October 1973 appointed Shire of Bet Bet as trust. This shire was amalgamated in 1995 into the Central Goldfields Shire.
160,CEM0174,DUNOLLY (NEW),Dunolly (New) Cemetery Trust,Off Dunolly & Bealiba Road,DUNOLLY,3472,0409 148 305,,,SHIRE OF CENTRAL GOLDFIELDS,Loddon Mallee,-36.84022,143.721748,
161,CEM0175,DUNOLLY (OLD),Dunolly (Old) Cemetery Trust,Cemetery Road,DUNOLLY,3472,,mail@cgoldshire.vic.gov.au,,SHIRE OF CENTRAL GOLDFIELDS,Loddon Mallee,-36.851725,143.718592,
162,CEM0176,DURHAM OX,Durham Ox Cemetery Trust,Mologa Durham Ox Road,DURHAM OX,3576,,oxsinclairs@hotmail.com,,SHIRE OF LODDON,Loddon Mallee,-36.129044,143.937783,
163,CEM0177,EAGLEHAWK,Remembrance Parks Central Victoria,Curtain Street,EAGLEHAWK,3556,1300 266 561,,,CITY OF GREATER BENDIGO,Loddon Mallee,-36.717286,144.264742,
164,CEM0178,ECHUCA,Echuca Cemetery Trust,Homan Street,ECHUCA,3564,0400 504 145,,,SHIRE OF CAMPASPE,Loddon Mallee,-36.124911,144.733545,
165,CEM0179,EDDINGTON,Eddington Cemetery Trust,Corner of Bendigo -Maryborough Roads,EDDINGTON,3472,0428 355 545,,,SHIRE OF LODDON,Loddon Mallee,-36.882322,143.871653,
166,CEM0180,EDENHOPE,West Wimmera Shire Cemeteries Trust,Charles Street,EDENHOPE,3318,0429 707 407,,,SHIRE OF WEST WIMMERA,Grampians,-37.041894,141.303838,
167,CEM0181,EGANSTOWN,Eganstown Cemetery Trust,Blanket Flat Track,EGANSTOWN,3461,0417 103 191,,,SHIRE OF HEPBURN,Grampians,-37.371321,144.090253,
168,CEM0183,EILDON WEIR ( DARLINGFORD),Eildon Weir Cemetery Trust,McKay Court,EILDON,3713,0438 742 975,,,SHIRE OF MURRINDINDI,Hume,-37.233592,145.926128,mobile
169,CEM0184,ELAINE,Elaine Cemetery Trust,Mt Mercer Road,ELAINE,3334,,elainecemeterytrust@hotmail.com,,SHIRE OF MOORABOOL,Grampians,-37.777119,143.98534,mobile
170,CEM0185,ELDORADO,Eldorado Cemetery Trust,Cemetery Road,ELDORADO,3746,0438 477 427,,,WANGARATTA RURAL CITY,Hume,-36.316078,146.517026,
171,CEM0186,ELLERSLIE,Ellerslie Cemetery Trust,Ellerslie Panmure - The Sisters Road,ELLERSLIE,3265,5599 6227,,,SHIRE OF MOYNE,Barwon-South Western,-38.157995,142.68863,
172,CEM0187,ELMHURST,Elmhurst Cemetery Trust,Glenlogie - Beaufort Road,ELMHURST,3469,,westerhofftony@gmail.com,,RURAL CITY OF ARARAT,Grampians,-37.185042,143.268502,
173,CEM0188,ELMORE,Elmore Cemetery Trust,Elmore-Raywood & Wharparilla Road,ELMORE,3558,0427 326 343,,,CITY OF GREATER BENDIGO,Loddon Mallee,-36.487553,144.600934,
174,CEM0189,ELPHINSTONE,Elphinstone Cemetery Trust,Stanley Street & Cemetery Road,ELPHINSTONE,3448,5473 3363,,,SHIRE OF MOUNT ALEXANDER,Loddon Mallee,-37.111376,144.325928,
175,CEM0190,ELTHAM,Eltham Cemetery Trust,Mt Pleasant & Metery Roads,ELTHAM,3095,9432 1963,,,SHIRE OF NILLUMBIK,North and West Metropolitan,-37.726757,145.150416,
176,CEM0191,EMERALD (NANGANA),Greater Metropolitan Cemeteries Trust,Macchesfield Road,EMERALD,3782,1300 022 298,,,SHIRE OF CARDINIA,Southern Metropolitan,-37.906837,145.470407,
177,CEM0192,ENSAY,Ensay Cemetery Trust,Great Alpine Road,ENSAY,3895,5159 4404,,,SHIRE OF EAST GIPPSLAND,Gippsland,-37.36315,147.823952,
178,CEM0193,EPPING,Epping Cemetery Trust,High Street & O'Herns Road,EPPING,3076,,george.vassiliadis@whittlesea.vic.gov.au,,SHIRE OF WHITTLESEA,North and West Metropolitan,-37.638084,145.024876,
179,CEM0195,EUROA,Euroa Cemetery Trust,Faithfuls Creek-Sheans Gully Road,EUROA,3666,5795 2335,,,SHIRE OF STRATHBOGIE,Hume,-36.740898,145.593882,
180,CEM/10/4,FAWKNER CREMATORIUM & MEMORIAL PARK,Greater Metropolitan Cemeteries Trust,Sydney Road,FAWKNER,3060,1300 022 298,,,CITY OF MORELAND,North and West Metropolitan,-37.71374,144.959129,
181,CEM0199,FERNTREE GULLY,Ferntree Gully Cemetery Trust,Forest Road,FERNTREE GULLY,3156,,andrew.dowling@knox.vic.gov.au,,CITY OF KNOX,Eastern Metropolitan,-37.882246,145.29808,
182,CEM0200,FLINDERS,Mornington Peninsula Cemetery Trust,Stokes Street,FLINDERS,3929,,jenny.brown@mornpen.vic.gov.au,,SHIRE OF MORNINGTON PENINSULA,Southern Metropolitan,-38.469461,145.015965,
183,CEM0210-01,FLINDERS MEMORIAL PARK,Geelong Cemeteries Trust,Forest Road,LARA,3212,5249 3939,,,CITY OF GREATER GEELONG,Barwon-South Western,-38.03873,144.393042,
184,CEM0201,FOOTSCRAY,Footscray Cemetery Trust,Geelong Road,YARRAVILLE,3013,9032 4018,,,CITY OF MARIBYRNONG,North and West Metropolitan,-37.815613,144.860833,
185,CEM0202,FOSTER,Foster Cemetery Trust,Hoodle Road,FOSTER,3960,0497 010 065,,,SHIRE OF SOUTH GIPPSLAND,Gippsland,-38.658214,146.190251,
186,CEM0204,FRANKLINFORD,Franklinford Cemetery Trust,Cemetery Road,FRANKLINFORD,3461,,carlene.sartori@bigpond.com,,SHIRE OF HEPBURN,Grampians,-37.235484,144.105221,
187,CEM0205,FRANKSTON,Frankston Cemetery Trust,Cranbourne Road,FRANKSTON,3199,9784 1813,,,CITY OF FRANKSTON,Southern Metropolitan,-38.147552,145.134093,
188,CEM0641,FRENCH ISLAND,French Island Cemetery Trust,Mosquito Creek Road,FRENCH ISLAND,3921,5980 1241,,,BASS COAST SHIRE,NO DHS REGION (VIC),-38.366214,145.343418,
189,CEM0206,FRYERSTOWN,Fryerstown Cemetery Trust,Turover Street,FRYERSTOWN,3451,0418 171 886,,,SHIRE OF MOUNT ALEXANDER,Loddon Mallee,-37.140571,144.259036,
190,CEM0207,GAFFNEY'S CREEK,Gaffney's Creek Cemetery Trust,Woods Point Road,GAFFNEYS CREEK,3723,0490 113 682,,,SHIRE OF MANSFIELD,Hume,-37.465521,146.190637,
191,CEM0208,GARVOC,Garvoc Cemetery Trust,Cemetery Lane,GARVOC,3265,5591 8210,,,SHIRE OF MOYNE,Barwon-South Western,-38.305491,142.806989,
192,CEM0209,GEELONG EASTERN,Geelong Cemeteries Trust,Ormond Road,GEELONG,3219,5249 3939,,,CITY OF GREATER GEELONG,Barwon-South Western,-38.163492,144.381534,
193,CEM0210,GEELONG MEMORIAL PARK,Geelong Cemeteries Trust,Burvilles Road,ARMSTRONG CREEK,3217,5249 3939,,,CITY OF GREATER GEELONG,Barwon-South Western,-38.23231,144.344737,
194,CEM0210-00,GEELONG WESTERN,Geelong Cemeteries Trust,Minerva Road,MANIFOLD HEIGHTS,3218,5249 3939,,,CITY OF GREATER GEELONG,Barwon-South Western,-38.135888,144.327614,
195,CEM0212,GEMBROOK,Gembrook Cemetery Trust,Blackwood Lane,GEMBROOK,3783,0458 343 638,,,SHIRE OF CARDINIA,Southern Metropolitan,-37.9686,145.561,
196,CEM0557,GIPPSLAND MEMORIAL PARK,Traralgon Cemetery Trust,Tyers Road,TRARALGON,3844,5174 9071,,,CITY OF LATROBE,Gippsland,-38.177822,146.49616,"Also called ""Traralgon Cemetery"""
197,CEM0342,GIPSY POINT (MARAMINGO),Gipsy Point Cemetery Trust,Gipsy Point Road,GIPSY POINT,3891,0427 823 374,,,SHIRE OF EAST GIPPSLAND,Gippsland,-37.487881,149.659803,
198,CEM0213,GISBORNE,Geelong Cemeteries Trust,Aitken Street,GISBORNE,3437,5249 3939,,,SHIRE OF MACEDON RANGES,Loddon Mallee,-37.495011,144.587848,
199,CEM0910,GLEN WILLS,East Gippsland Shire Cemeteries Trust,Omeo Highway,GLEN WILLS,3898,5153 9500,,,SHIRE OF EAST GIPPPSLAND,Gippsland,-36.85216,147.50473,
200,CEM0215,GLENALADALE,East Gippsland Shire Cemeteries Trust,Fernbank Glealadale Road,GLENALADALE,3864,5153 9500,,,SHIRE OF EAST GIPPPSLAND,Gippsland,-37.763896,147.364942,
201,CEM0216,GLENDARUEL,Coghill's Creek Cemetery Trust,Government Road,GLENDARUEL,3363,5320 5108,,,CITY OF BALLARAT,Grampians,-37.393568,143.77392,
202,CEM0217,GLENGOWER,Glengower Cemetery Trust,Creswick Newstead Road,GLENGOWER,3370,4335 4723,,,SHIRE OF HEPBURN,Grampians,-37.211837,143.938485,address
203,CEM0219,GLENLYON,Glenlyon Cemetery Trust,Holcombe Road,GLENLYON,3461,0417 030 036,,,SHIRE OF HEPBURN,Grampians,-37.2792,144.256,
204,CEM0221,GLENMAGGIE,Glenmaggie Cemetery Trust,Licola Road,GLENMAGGIE,3858,5148 2711,,,SHIRE OF WELLINGTON,Gippsland,-37.905247,146.757032,address
205,CEM0222,GLENORCHY,Glenorchy Cemetery Trust,Glenorchy Cemetery Road,GLENORCHY,3385,5359 0224,,,SHIRE OF NORTHERN GRAMPIANS,Grampians,-36.890492,142.664776,address
206,CEM0223,GLENPATRICK,Glenpatrick Cemetery,Glenpatrick Road,GLENPATRICK,3469,Unable to Access Person,,,SHIRE OF PYRENEES,Grampians,-37.135159,143.342406,"CLOSED - Tony O'Shea, President of Avoca Historical Society is happy for his number to be the contact number on our website (confirmed 17/5/11)"
207,CEM0224,GLENTHOMPSON,Glenthompson Cemetery Trust,Thompson Road,GLENTHOMPSON,3293,0418 562 570,,,SHIRE OF SOUTHERN GRAMPIANS,Grampians,-37.639198,142.549379,address
208,CEM0225,GOBUR,Gobur Cemetery Trust,Yarck Street,GOBUR,3719,0428 539 286,,,SHIRE OF MURRINDINDI,Hume,-37.024467,145.612095,address
209,CEM0226,GOORNONG,Goornong Cemetery Trust,Bellholme Road,GOORNONG,3557,0407 844 635,,,CITY OF GREATER BENDIGO,Loddon Mallee,-36.618733,144.518542,
210,CEM0227,GORDON NEW,Gordon (New) Cemetery Trust,Cemetery Lane,GORDON,3345,0417 762 508,,,SHIRE OF MOORABOOL,Grampians,-37.586524,144.113767,address
211,CEM0228,GORDON OLD,Gordon (Old) Cemetery Trust,Brougham Street,GORDON,3345,5366 7100,,,SHIRE OF MOORABOOL,Grampians,-37.578452,144.099359,address
212,CEM0229,GORMANDALE,Gormandale Cemetery Trust,Hyland Highway,GORMANDALE,3873,0400 764 577,,,SHIRE OF WELLINGTON,Gippsland,-38.30624,146.714616,
213,CEM0230,GOROKE,West Wimmera Shire Cemeteries Trust,Natimuk Road,GOROKE,3412,0429 707 407,,,SHIRE OF WEST WIMMERA,Grampians,-36.714315,141.490076,
214,CEM0231,GOWANGARDIE,Gowangardie Cemetery Trust,Cemetery Road,GOWANGARDIE,3669,5828 9245,,,CITY OF GREATER SHEPPARTON,Hume,-36.476425,145.65585,
215,CEM0232,GRANITE FLAT,Granite Flat Cemetery Trust,Omeo Highway,TOWONG,3707,02 6072 3588,,,SHIRE OF TOWONG,Hume,-36.582443,147.425816,
216,CEM0233,GRANTVILLE,Grantville Cemetery Trust,Bass Highway,GRANTVILLE,3984,,grantvillecemetery@gmail.com,,BASS COAST SHIRE,Gippsland,-38.395156,145.539989,
217,CEM0234,GRANYA,Granya Cemetery Trust,Murray River Road,GRANYA,3701,0428 816 657,,,SHIRE OF TOWONG,Hume,-36.095977,147.31854,
218,CEM0235,GRAY'S BRIDGE (MARNOO),Gray's Bridge Cemetery Trust,Cemetery Road,MARNOO,3387,0427 340 550,,,SHIRE OF NORTHERN GRAMPIANS,Grampians,-36.609657,142.915608,
219,CEM0236,GRAYTOWN,Graytown Cemetery Trust,Off Heathcote Nagambie Road,GRAYTOWN,3608,0433 563 928,,,SHIRE OF STRATHBOGIE,Hume,-36.810693,144.955502,address
220,CEM0237,GREAT WESTERN,Great Western Cemetery Trust,Cemetery Road,GREAT WESTERN,3377,0407 058 948,,,SHIRE OF NORTHERN GRAMPIANS,Grampians,-37.159569,142.856147,address
221,CEM0238,GREEN HILL,Green Hill Cemetery Trust,Goldfields Road,GREENHILL,3444,0408 596 847,,,SHIRE OF MOUNT ALEXANDER,Loddon Mallee,-37.143572,144.455032,address
222,CEM0239,GREEN LAKE,Green Lake Cemetery Trust,Western Highway,GREEN LAKE,3401,5382 5221,,,RURAL CITY OF HORSHAM,Grampians,-36.783303,142.300096,address
223,CEM0240,GREENDALE,Greendale Cemetery Trust,Napoleon Street,GREENDALE,3341,0400 198 156,,,SHIRE OF MOORABOOL,Grampians,-37.563253,144.300639,
224,CEM0242,GREENSBOROUGH,Banyule Cemeteries Trust,Jessop Street,GREENSBOROUGH,3088,9490 4321,,,CITY OF BANYULE,North and West Metropolitan,-37.700291,145.10075,
225,CEM0244,GRETA,Greta Cemetery Trust,Kilfeera Road,GRETA,3675,0427 276 372,,,WANGARATTA RURAL CITY,Hume,-36.550489,146.275891,
226,CEM0210-03,GROVEDALE,Geelong Cemeteries Trust,Church Street,GROVEDALE,3216,5249 3939,,,CITY OF GREATER GEELONG,Barwon-South Western,-38.196525,144.34111,
227,CEM0245,GUILDFORD,Guildford Cemetery Trust,Turner Street,GUILDFORD,3451,5473 4419,,,SHIRE OF MOUNT ALEXANDER,Loddon Mallee,-37.158695,144.170542,
228,CEM0000,GULWARRA HEIGHTS MEMORIAL PARK,Warragul Cemetery Trust,Burke Street,WARRAGUL,3820,0411 460 325,,,SHIRE OF BAW BAW,Gippsland,-38.152329,145.896798,
229,CEM0248,HAMILTON,Hamilton Cemetery Trust,Henty Highway,HAMILTON,3300,0459 721 285,,,SHIRE OF SOUTHERN GRAMPIANS,Barwon-South Western,-37.716693,141.996208,
230,CEM0250,HARCOURT,Harcourt Cemetery Trust,Calder Highway,HARCOURT,3453,5474 2420,,,SHIRE OF MOUNT ALEXANDER,Loddon Mallee,-36.983198,144.256006,
231,CEM0251 (old),HARKAWAY,Berwick and Harkaway Cemeteries Trust,Hessles Road,HARKAWAY,3806,0477 111 304,,,CITY OF CASEY,Southern Metropolitan,-38.0069,145.33657,
232,CEM0252,HARRIETVILLE,Harrietville Cemetery Trust,Cemetery Lane,HARRIETVILLE,3741,5759 2686,,,SHIRE OF ALPINE,Hume,-36.873485,147.057279,
233,CEM0253,HARROW,Harrow Cemetery Trust,Douglas Road,HARROW,3317,0427 704 272,,,SHIRE OF WEST WIMMERA,Grampians,-37.156638,141.621712,
234,CEM0255,HAWKESDALE,Hawkesdale Cemetery Trust,Cemetery Lane,HAWKESDALE,3287,5560 7200,,,SHIRE OF MOYNE,Barwon-South Western,-38.101266,142.315741,
235,CEM0256,HAZELWOOD (MOREWELL),Hazelwood Cemetery Trust,Brodribb Road,HAZELWOOD,3840,5133 9183,,,CITY OF LATROBE,Gippsland,-38.278261,146.377033,
236,CEM0257,HEALESVILLE,Greater Metropolitan Cemeteries Trust,Don Road,HEALESVILLE,3777,1300 022 298,,,SHIRE OF YARRA RANGES,Eastern Metropolitan,-37.660206,145.528922,address
237,CEM0258,HEATHCOTE,Heathcote Cemetery Trust,Pohlman Street,HEATHCOTE,3523,0484 363 758,,,CITY OF GREATER BENDIGO,Loddon Mallee,-36.920007,144.697976,
238,CEM0259,HEXHAM,Hexham Cemetery Trust,Hamilton Highway,HEXHAM,3273,0438 613 034,,,SHIRE OF MOYNE,Barwon-South Western,-38.000191,142.710061,
239,CEM0260,HEYFIELD,Heyfield Cemetery Trust,Tyson Road,HEYFIELD,3858,0408 517 686,,,SHIRE OF WELLINGTON,Gippsland,-37.966335,146.786609,address
240,CEM0261,HEYWOOD,Heywood Cemetery Trust,Cemetery Road,HEYWOOD,3304,0418 527 115,,,SHIRE OF GLENELG,Barwon-South Western,-38.105939,141.622061,
241,CEM0263,HOPETOUN,Hopetoun Cemetery Trust,Cemetery Road,HOPETOUN,3396,0438 833 165,,,SHIRE OF YARRIAMBIACK,Grampians,-35.748307,142.369849,
242,CEM0265,HORSHAM,Horsham Cemetery Trust,Davis Drive,HORSHAM,3400,5382 9733,,,RURAL CITY OF HORSHAM,Grampians,-36.697664,142.200777,
243,CEM0266,HOTSPUR,Hotspur Cemetery Trust,Cemetery Lane,HOTSPUR,3303,5578 5517,,,SHIRE OF GLENELG,Barwon-South Western,-37.929758,141.586665,
244,CEM0267,INGLEWOOD,Inglewood Cemetery Trust,Serpentine Road,INGLEWOOD,3517,0409 194 175,,,SHIRE OF LODDON,Loddon Mallee,-36.574476,143.892493,
245,CEM0268,INVERLEIGH,Inverleigh Cemetery Trust,Cemetery Road,INVERLEIGH,3321,0411 624 309,,,SHIRE OF GOLDEN PLAINS,Grampians,-38.105118,144.039247,
246,CEM0269,INVERLOCH,Inverloch Cemetery Trust,Bass Highway,INVERLOCH,3996,0407 575 290,,,BASS COAST SHIRE,Gippsland,-38.627212,145.7181,
247,CEM0270,JAMIESON,Mansfield Cemetery Trust,Cemetery Lane,JAMIESON,3723,5575 8555,,,SHIRE OF MANSFIELD,Hume,-37.301532,146.149984,
248,CEM0271,JEPARIT,Jeparit Cemetery Trust,Jeparit East Road,JEPARIT,3423,5397 2222,,,SHIRE OF HINDMARSH,Grampians,-36.130754,141.996276,
249,CEM0272,JERICHO,Jericho Cemetery Trust,B B Jordan Divide Track,ERICA,3825,Unable to Access Person,,,SHIRE OF BAW BAW,Gippsland,-37.636851,146.269335,Managed by Melbourne Water - closed to burials in 1983
250,CEM0573,JOHN FOORD (WAHGUNYAH) PUBLIC CEMETERY,John Foord (Wahgunyah) Cemetery Trust,Kilborn Lane,WAHGUNYAH,3687,0409 838 219,,,SHIRE OF INDIGO,Hume,-36.021411,146.39356,
251,CEM0274,JOYCE'S CREEK,Joyce's Creek Cemetery Trust,Rodborough Road,JOYCES CREEK,3462,5476 2450,,,SHIRE OF MOUNT ALEXANDER,Loddon Mallee,-37.102744,143.98279,
252,CEM0273,JUNG (JERRO),Jerro Cemetery Trust,Greenhills Road,JUNG,3399,5384 7380,,,RURAL CITY OF HORSHAM,Grampians,-36.590138,142.372755,
253,H CEM 257,KANGAROO FLAT,Remembrance Parks Central Victoria,Helm Street,KANGAROO FLAT,3555,1300 266 561,,,CITY OF GREATER BENDIGO,Loddon Mallee,-36.797301,144.238089,
254,CEM0276,KANGAROO GROUND,Kangaroo Ground Cemetery Trust,Eltham-Yarra Glen Road,KANGAROO GROUND,3097,0439 971 202,,,SHIRE OF NILLUMBIK,North and West Metropolitan,-37.681784,145.23625,
255,CEM0317,KANIVA & LILLIMUR,West Wimmera Shire Cemeteries Trust,Cemetery Road,KANIVA,3419,0429 707 407,,,SHIRE OF WEST WIMMERA,Grampians,-36.356708,141.182947,address
256,CEM0277,KARNAK,Karnak Cemetery Trust,Church Lane,KARNAK,3401,5386 1240,,,SHIRE OF WEST WIMMERA,Grampians,-36.823735,141.483179,
257,CEM0278,KATAMATITE,Katamatite Cemetery Trust,Cemetery Road,KATAMATITE,3649,0437 519 116,,,SHIRE OF MOIRA,Hume,-36.083452,145.684988,
258,CEM0279,KATANDRA,Katandra Cemetery Trust,Inverness Road,KATANDRA,3634,0400 283 311,,,CITY OF GREATER SHEPPARTON,Hume,-36.235447,145.585752,address
259,CEM0280,KATYIL,Katyil Cemetery Trust,Antwerp Road,KATYIL,3414,5389 4225,,,SHIRE OF HINDMARSH,Grampians,-36.304357,142.11952,
260,CEM0281,KEILOR,Greater Metropolitan Cemeteries Trust,Cemetery Road,KEILOR,3036,1300 022 298,,,CITY OF BRIMBANK,North and West Metropolitan,-37.729366,144.854165,
261,CEM0282,KENMARE,Kenmare Cemetery Trust,Rainbow-Birchip Road,RAINBOW,3424,0428 954 248,,,SHIRE OF HINDMARSH,Grampians,-35.910887,142.184292,
262,CEM0283,KERANG,Kerang Cemetery Trust,Westblade Avenue,KERANG,3579,0428 522 468,,,SHIRE OF GANNAWARRA,Loddon Mallee,-35.721273,143.923916,
263,CEM0284,KIALLA WEST,Remembrance Parks Central Victoria,Goulburn Valley Highway,KIALLA,3631,1300 266 561,,,CITY OF GREATER SHEPPARTON,Hume,-36.465529,145.391749,"Kialla West Cemetery Trust was abolished by GIC Order published in Government Gazette 27 May 2021. RPCV appointed as Manager of the Kialla West cemetery, by same Order."
264,CEM0285,KIATA,Kiata Cemetery Trust,Kiata South Road,KIATA,3418,0439 911 869,,,SHIRE OF HINDMARSH,Grampians,-36.370089,141.797041,
265,CEM0286,KIEWA,Kiewa Cemetery Trust,Gundowring Road,KIEWA,3691,0409 389 404,,,SHIRE OF INDIGO,Hume,-36.284002,147.065177,
266,CEM0287,KILCUNDA,Kilcunda Cemetery Trust,Bass Highway,KILCUNDA,3995,5678 7476,,,BASS COAST SHIRE,Gippsland,-38.559577,145.492407,address
267,CEM0288,KILMORE,Kilmore Cemetery Trust,Lancefield Road,KILMORE,3764,,secretary@kilmorecemetery.com.au,,SHIRE OF MITCHELL,Hume,-37.294945,144.932255,
268,CEM0820,KILNOORAT,Kilnoorat Cemetery Trust,Kilnoorat Road,TERANG,3264,5593 7175,,,SHIRE OF CORANGAMITE,Barwon-South Western,-38.088921,143.006468,CLOSED
269,CEM0290,KINGOWER,Kingower Cemetery Trust,Kingower-Rheola Road,KINGOWER,3517,5438 8223,,,SHIRE OF LODDON,Loddon Mallee,-36.614089,143.734693,
270,CEM0291,KOETONG,Koetong Cemetery Trust,Billbroughs Road,KOETONG,3704,02 6072 7534,,,SHIRE OF TOWONG,Hume,-36.154982,147.49594,
271,CEM0292,KOONDROOK,Koondrook Cemetery Trust,Koondrook West Road,KOONDROOK,3580,0409 638 420,,,SHIRE OF GANNAWARRA,Loddon Mallee,-35.642148,144.123168,
272,CEM0294,KORONG VALE,Korong Vale Cemetery Trust,Borung Road,KORONG VALE,3520,5494 7444,,,SHIRE OF LODDON,Loddon Mallee,-36.347751,143.717836,
273,CEM0295,KORUMBURRA,Korumburra Cemetery Trust,Kardella Road,KORUMBURRA,3950,0413 081 136,,,SHIRE OF SOUTH GIPPSLAND,Gippsland,-38.430351,145.850325,
274,CEM0297,KURWEETON,Darlington Cemeteries Trust,East Road,DERRINALLUM,3325,,mjj2@bigpond.com,,SHIRE OF CORANGAMITE,Barwon-South Western,-38.049837,143.132482,
275,CEM0298,KYABRAM,Kyabram Cemetery Trust,Lancaster Road,KYABRAM,3619,0438 522 468,,,SHIRE OF CAMPASPE,Loddon Mallee,-36.314503,145.093419,
276,CEM0299,KYNETON,Kyneton Cemetery Trust,Redesdale Road,KYNETON,3444,0417 715 037,,,SHIRE OF MACEDON RANGES,Loddon Mallee,-37.227419,144.457933,
277,CEM0302,LAEN NORTH,Laen North Cemetery Trust,Donald-Minyip Road,DONALD,3480,5497 1056,,,SHIRE OF BULOKE,Loddon Mallee,-36.383089,142.82472,
278,CEM0303,LAKE BOGA,Lake Boga Cemetery Trust,Cemetery Road,LAKE BOGA,3584,0418 315 692,,,RURAL CITY OF SWAN HILL,Loddon Mallee,-35.476603,143.624137,
279,CEM0304,LAKE BOLAC,Lake Bolac Cemetery Trust,Glenelg Highway,LAKE BOLAC,3351,0438 944 325,,,RURAL CITY OF ARARAT,Grampians,-37.704002,142.86043,
280,CEM0305,LAKE ROWAN,Lake Rowan Cemetery Trust,Benalla/Yarrawonga Road,LAKE ROWAN,3727,0418 518 247,,,SHIRE OF MOIRA,Hume,-36.249491,145.968429,
281,CEM0307,LAKES ENTRANCE,Lakes Entrance Cemetery Trust,Colquhoun Road,LAKES ENTRANCE,3909,0417 323 848,,,SHIRE OF EAST GIPPSLAND,Gippsland,-37.863193,148.004145,
282,CEM0308,LALBERT,Lalbert Cemetery Trust,Dumosa Road,LALBERT,3542,0427 803 614,,,SHIRE OF GANNAWARRA,Loddon Mallee,-35.703329,143.364877,
283,CEM0309,LANCEFIELD,Lancefield Cemetery Trust,Cemetery Road,LANCEFIELD,3435,0477 092 946,,,SHIRE OF MACEDON RANGES,Loddon Mallee,-37.292418,144.74109,
